names
"A'Quarone, Leonard"
"Clarke, Rebecca Sophia, 1833-1906"
"Clarkson, Thomas, 1760-1846"
"Clauren, H. (Heinrich), 1771-1854"
"Clauser, Francis H."
"Clay, Cassius Marcellus, 1810-1903"
"Clayton, Powell, 1833-1914"
"Clement, Frank G."
"Cleveland, E. E. (Edward Earl), 1921-"
"Cleveland, Grover, 1837-1908"
"Cloos, Hans, 1885-1951"
"Cloud, Virginia Woodward, 1861-1938"
"Clowes, George H. A. (George Henry Alexander), 1915-"
"Clymer, George, 1739-1813"
"Coates, Joseph H."
"Cobb, John B."
"Cobb, Sylvanus, 1798-1866"
"Cobbe, Frances Power, 1822-1904"
"Coble, Arthur Byron, 1878-"
"Cochrane, William P."
"Cocteau, Jean, 1889-1963"
"Coe, Samuel Gwynn, 1888-"
"Coe, William Robertson, 1869-1955"
"Coffin, Robert P. Tristram (Robert Peter Tristram), 1892-1955"
"Cohen, Morris Raphael, 1880-1947"
"Cohn, Michael A., 1867-"
"Coindreau, Maurice Edgar."
"Coker, R. E. (Robert Ervin), 1876-1967"
"Cole, Douglas, 1938-1997"
"Cole, George Watson, 1850-1939"
"Cole, William Harder, 1892-1967"
"Collier, David, 1942-"
"Collins, Henry Hill, 1905-1961"
"Columbus, Christopher."
"Colvin, Sidney, 1845-1927"
"Commons, John R. (John Rogers), 1862-1945"
"Compton, K. T. (Karl Taylor), 1887-1954"
"Comstock, George C. (George Cary), 1855-1934"
"Comte, Auguste, 1798-1857"
"Conant, James Bryant, 1893-1978"
"Conant, James Bryant, 1893-1978"
"Cone, Claribel."
"Cone, Etta."
"Cononay Martin, Amalia"
"Conybeare, J. J. (John Josias), 1779-1824"
"Cook, Albert S. (Albert Stanburrough), 1853-1927"
"Cook, O. F. (Orator Fuller), 1867-1949"
"Cooke, John Esten, 1830-1886"
"Cooke, Rose Terry, 1827-1892"
"Cooley, Henry Scofield."
"Cooley, Thomas McIntyre, 1824-1898"
"Coolidge, Calvin, 1872-1933"
"Cooper, Harry B."
"Cooper, Jerrold S."
"Cooper, Lane, 1875-1959"
"Cordier, Andrew W. (Andrew Wellington), 1901-1975"
"Coronay Martin, Ramond"
"Correns, Carl W. (Carl Wilhelm), 1893-1980"
"Corrsin, Stanley, 1920-"
"Cortesi, Roger"
"Cortissoz, Royal, 1869-1948"
"Corwin, Alsoph Henry, 1908-"
"Cottle, Joseph, 1770-1853"
"Couch, William T. (William Terry), 1901-1988"
"Couchoud, Paul Louis, 1879-1959"
"Coues, Elliott, 1842-1899"
"Coulter, John Merle, 1851-1928"
"Courant, Richard, 1888-1972"
"Cowdry, E. V. (Edmund Vincent), 1888-1975"
"Cowles, R. P. (Rheinart Parker), 1872-1948"
"Cowles, R. P. (Rheinart Parker), 1872-1948"
"Cowper, Thomas."
"Cox, George Howland, 1880-"
"Cox, Raymond"
"Cox, Samuel Sullivan, 1824-1889"
"Craig, Thomas, 1855-1900"
"Cramér, Harald, 1893-1985"
"Cramond, William."
"Cranch, Christopher Pearse, 1813-1892"
"Crane, Clara Merryman, 1845-1909"
"Crane, Henry Ryland, 1845-1899"
"Crane, Isabella, 1894-"
"Crane, James Campbell, 1803-1856"
"Crane, William H., 1845-1928"
"Craster, George, 1734-1772"
"Craven, Avery, 1886-1980"
"Crawford, F. Marion (Francis Marion), 1854-1909"
"Crawford, Marion C."
"Crawford, William Harris, 1772-1834"
"Creighton, James Edwin, 1861-1924"
"Cresson, W. P. (William Penn), 1873-1932"
"Crew, F. A. E. (Francis Albert Eley), 1888-1973"
"Crew, Henry, 1859-1953"
"Crider, J. O."
"Crockett, Kennedy"
"Crooks, Esther J. (Esther Josephine), 1885-"
"Crosby, Sheldon Leavitt, 1879-1936"
"Cross, John M."
"Cross, Wilbur L. (Wilbur Lucius), 1862-1948"
"Croswell, Edwin, 1797-1871"
"Crowder, E. H. (Enoch Herbert), 1859-1932"
"Crowninshield, Frank, 1872-1947"
"Croy et Arschot, Dorothée de Croy, duchesse d, 1588-1660"
"Cruvant, Bernard Alan."
"Cruz, Martín de la"
"Culbertson, Paul T. (Paul Thomas)"
"Culbertson, William Smith, 1884-1966"
"Cullum, George W. (George Washington), 1809-1892"
"Cumberland, William Wilson, 1890-1955"
"Curchaga, Miguel, 1869-"
"Curme, George O. (George Oliver), 1860-1948"
"Current, Ira B."
"Curry, J. L. M. (Jabez Lamar Monroe), 1825-1903"
"Curry, Kenneth."
"Curtis, George Ticknor, 1812-1894"
"Curtis, George William, 1824-1892"
"Curtis, Winterton C. (Winterton Conway), 1875-1965"
"Curtius, Ludwig, 1874-1954"
"Curtler, Hugh Mercer."
"Daiger, J. M."
"Dalí, Salvador, 1904-1989"
"Daly, Augustin, 1838-1899"
"Damrosch, Walter, 1862-1950"
"Dana, Charles A. (Charles Anderson), 1819-1897"
"Dana, James Dwight, 1813-1895"
"Daniel, J. Frank (John Franklin), 1873-1942"
"Daniels, Jonathan, 1902-1981"
"Daniels, Josephus, 1862-1948"
"Daniels, Thomas L., 1892-1977"
"Dante Alighieri, 1265-1321"
"Darbishire, Helen, 1881-1961"
"Darton, Nelson Horatio, 1865-1948"
"Darwin, Charles, 1809-1882"
"Daubeny, Charles, 1795-1867"
"Daudet, Léon, 1867-1942"
"Daumier, Honoré, 1808-1879"
"Davenport, Charles Benedict, 1866-1944"
"David, Roy, 1877-"
"Davidson, Eugene, 1902-2002"
"Davis, Cushman Kellogg, 1838-1900"
"Davis, John Henry, 1901-1978?"
"Davis, John W. (John William), 1873-1955"
"Davis, Noah K. (Noah Knowles), 1830-1910"
"Davis, Oscar K. (Oscar King), 1866-1932"
"Davis, R. D."
"Davis, Rebecca Harding, 1831-1910"
"Davis, Theodore M., 1837-1915"
"Davis, William Morris, 1850-1934"
"Dawson, Henry B. (Henry Barton), 1821-1889"
"Dawson, Nathaniel H. R., 1829-1895"
"De Forest, John William, 1826-1906"
"De Gubernatis, Angelo, 1840-1913"
"De Kiewiet, C. W. (Cornelius William), 1902-1986"
"De la Mare, Walter, 1873-1956"
"De la Mare, Walter, 1873-1956"
